order_id,customer_id,status,checked_out_at
5e57de16-d33c-4126-bf0b-da65449cc3d1,4f4f5adc-1ca2-4b49-bac4-7b12d6d9d5cf,cancelled,2024-03-30 04:12:10.394413
62a67177-1d7f-44fe-86f8-622686d68f69,5cc88463-6a08-48b5-977c-9683a1c607b2,cancelled,2024-03-30 04:15:10.403885
9e950ce3-2e12-479c-a051-493c1a497d49,cda7bec0-7cbf-4145-baf9-e049bab94504,success,2024-03-30 04:19:10.406794
cddddfea-27ef-437f-817d-8f849d604c3c,e7f07fd1-05af-494a-ae5a-78c405b6f9c3,failed,2024-03-30 04:09:10.411149
170a66c8-6b39-468c-935c-445eb6be9fdf,873618f1-c201-4f8c-94bc-4cfc3d6d8cc8,cancelled,2024-03-30 04:09:10.412870
b2c190e8-954f-4290-a078-fbba9090f92d,06ac6a15-1a39-417a-bcbd-bfd8a5044b49,cancelled,2024-03-30 04:06:10.415021
54722bfc-5e76-403e-b8ee-f3ece75e0695,1afae3c7-6439-477e-b783-2da4b2d52dd3,cancelled,2024-03-30 04:06:10.418189
4eb8c025-82d6-443e-94bf-c70eb91cff4d,8f11a63f-4f4d-42be-8330-d736c674e96b,failed,2024-03-30 04:06:10.421398
7dc18ea3-1aee-4f04-8400-5563f4a971ec,363d0cad-e1b7-4b65-96ce-89356ffac779,success,2024-03-30 04:06:10.423649
e332c5bf-f01c-421c-b046-63bf2b6b4273,f40fc2b7-0a0f-46e8-8fc5-4edfa5eb832b,failed,2024-03-30 04:06:10.425055
f397d77b-479c-4e46-9cdb-b3f948dc5d95,cb756daa-9215-4dff-b60c-6090ffe9cb06,cancelled,2024-03-30 04:16:10.426048
dee95db0-863f-4de5-bd17-a50b463f6a9a,e473679a-8496-474e-b4ce-03344647970e,failed,2024-03-30 04:16:10.428483
bb15e304-1f09-4360-85da-1bbf58aa9669,11f73687-45ab-4665-9b1a-14356a593623,success,2024-03-30 04:13:10.429566
2b8e8fbf-1b9a-47bd-913b-332e119ec822,bacabc27-738e-43f3-bc44-e03f717a1710,failed,2024-03-30 04:13:10.432645
