customer_id,device_id,location,currency
4f4f5adc-1ca2-4b49-bac4-7b12d6d9d5cf,ef424b22-2393-4708-b065-c68152e8b377,Oman,USD
5cc88463-6a08-48b5-977c-9683a1c607b2,ba53d790-0cfc-4c00-9ab7-a6b104dceb65,United States of America,GBP
cda7bec0-7cbf-4145-baf9-e049bab94504,33b485de-7338-4997-b1d0-b988ba17b245,Saint Helena,NGN
e7f07fd1-05af-494a-ae5a-78c405b6f9c3,428688d6-31e6-4c73-a5d0-c8e849ccf6a3,Djibouti,NGN
873618f1-c201-4f8c-94bc-4cfc3d6d8cc8,1e939baf-c71d-444d-a832-d7dc3a6fcd0d,Guinea-Bissau,GBP
06ac6a15-1a39-417a-bcbd-bfd8a5044b49,25460125-c648-42d4-a516-79e485b892cb,Moldova,USD
1afae3c7-6439-477e-b783-2da4b2d52dd3,eab9f1d1-c830-44ed-a34f-d65ac40c54dc,Ecuador,USD
8f11a63f-4f4d-42be-8330-d736c674e96b,bd013902-0329-442e-966b-e366ab85f5d2,Micronesia,USD
363d0cad-e1b7-4b65-96ce-89356ffac779,ed305dab-3fc9-44e7-9430-436907d0d316,Antigua and Barbuda,GBP
f40fc2b7-0a0f-46e8-8fc5-4edfa5eb832b,76c265ff-c670-433a-887f-4b0d7a991349,Mali,NGN
cb756daa-9215-4dff-b60c-6090ffe9cb06,9ee953bc-e108-4ee4-8528-3d8abe39be4b,Wallis and Futuna,USD
e473679a-8496-474e-b4ce-03344647970e,a700bdd3-bab5-4f7a-985f-7346559ca796,Guam,USD
11f73687-45ab-4665-9b1a-14356a593623,aefb983d-2b30-4e1b-97c1-3816f2aafd9d,Grenada,GBP
bacabc27-738e-43f3-bc44-e03f717a1710,6745b973-51c5-4a64-81bd-d447a4e4260f,United States Minor Outlying Islands,NGN
90ece57b-954d-426c-b841-fc3e6e05c486,ecaa7abe-f5ae-4212-a85f-c9c96485c762,Aruba,NGN
bff985ac-312f-41e0-a9a3-e8b5eee4d46e,18aafe2a-7472-418b-abba-0956c7b70e72,Germany,NGN
bcca857f-f1b2-458b-be4a-a3d50dcad1ab,15701a88-af22-4d99-832d-4cf9960bf3e3,Saint Pierre and Miquelon,USD
b8657d74-870b-428f-93d2-525b92d13766,ab0c6639-a97a-482c-82c3-c63578481971,Tokelau,USD
2d4b915d-f5d6-4ffd-915e-e5119e4fd9cd,8df81b50-9818-4847-be4d-0ef5e20b6830,Pakistan,USD
88fff51f-d9d9-42c3-a8e0-49843e9b965f,0cdcbe8e-8cc8-4f84-bba4-db7df78cb27c,Equatorial Guinea,NGN
b7b16a2a-b32e-4486-a782-66dbbb3106ea,004c6716-21c7-4c52-871f-010dce4f7ffc,Sudan,USD
f9991666-ae9f-4993-90f9-0cdc3bb7ca44,e354efa1-8b1c-41b9-91f0-c9e61892c210,Fiji,NGN
f534da4d-a4d4-45b0-94ff-f59f96198845,21737745-c4b8-464b-954d-5f9522dd64d3,Montenegro,GBP
9903b32f-68a9-4988-87a6-2fe25607d7ca,fb3f087e-3bf0-4b16-8dd3-e8d27497dbfb,Palestinian Territory,GBP
82d66a7a-114c-4b0b-ae9b-3ccadf5dae06,721d65c7-10b0-423e-b0df-9de2269229e3,North Macedonia,NGN
859cd8f2-800a-4ad4-a5c2-b99d65a75315,33940914-5811-4ecb-97ef-9bf6c4c17bf0,Andorra,USD
1bf43b44-ea3e-4653-9eba-c11c553f936d,3375e9fe-bada-43b3-a9a6-78566b24dd24,Qatar,NGN
cef12f67-92a0-4a9b-8f3c-9dce2be92f3b,bbf1ae7b-3fed-4afb-bfa7-ceb108a4cfd5,Portugal,USD
