line_item_id,order_id,item_id,quantity
3201,9e950ce3-2e12-479c-a051-493c1a497d49,4,2
3202,9e950ce3-2e12-479c-a051-493c1a497d49,5,4
3203,9e950ce3-2e12-479c-a051-493c1a497d49,9,5
3204,9e950ce3-2e12-479c-a051-493c1a497d49,12,1
3205,9e950ce3-2e12-479c-a051-493c1a497d49,6,2
3206,9e950ce3-2e12-479c-a051-493c1a497d49,11,4
3207,cddddfea-27ef-437f-817d-8f849d604c3c,9,3
3208,54722bfc-5e76-403e-b8ee-f3ece75e0695,13,2
3209,54722bfc-5e76-403e-b8ee-f3ece75e0695,6,1
3210,54722bfc-5e76-403e-b8ee-f3ece75e0695,15,5
3211,54722bfc-5e76-403e-b8ee-f3ece75e0695,8,3
3212,54722bfc-5e76-403e-b8ee-f3ece75e0695,1,3
3213,54722bfc-5e76-403e-b8ee-f3ece75e0695,9,4
3214,54722bfc-5e76-403e-b8ee-f3ece75e0695,10,3
3215,e332c5bf-f01c-421c-b046-63bf2b6b4273,4,3
3216,e332c5bf-f01c-421c-b046-63bf2b6b4273,15,3
3217,bb15e304-1f09-4360-85da-1bbf58aa9669,13,5
3218,bb15e304-1f09-4360-85da-1bbf58aa9669,9,4
3219,bb15e304-1f09-4360-85da-1bbf58aa9669,2,4
3220,bb15e304-1f09-4360-85da-1bbf58aa9669,12,5
3221,bb15e304-1f09-4360-85da-1bbf58aa9669,6,2
3222,bb15e304-1f09-4360-85da-1bbf58aa9669,14,3
3223,bb15e304-1f09-4360-85da-1bbf58aa9669,10,2
3224,bb15e304-1f09-4360-85da-1bbf58aa9669,4,2
3225,bb15e304-1f09-4360-85da-1bbf58aa9669,5,5
3226,2b8e8fbf-1b9a-47bd-913b-332e119ec822,10,4
3227,2b8e8fbf-1b9a-47bd-913b-332e119ec822,4,3
3228,2b8e8fbf-1b9a-47bd-913b-332e119ec822,6,3
3229,2b8e8fbf-1b9a-47bd-913b-332e119ec822,11,1
3230,3fdc6129-bdd1-4a57-9bf9-29410b1da5a5,13,1
3231,3fdc6129-bdd1-4a57-9bf9-29410b1da5a5,7,1
3232,3fdc6129-bdd1-4a57-9bf9-29410b1da5a5,10,4
3233,3fdc6129-bdd1-4a57-9bf9-29410b1da5a5,2,1
3234,3fdc6129-bdd1-4a57-9bf9-29410b1da5a5,8,3
3235,3fdc6129-bdd1-4a57-9bf9-29410b1da5a5,14,1
3236,3fdc6129-bdd1-4a57-9bf9-29410b1da5a5,5,5
3237,3fdc6129-bdd1-4a57-9bf9-29410b1da5a5,1,1
3238,7c66272b-7162-4ee2-b2ad-3850f39fd498,10,2
3239,7c66272b-7162-4ee2-b2ad-3850f39fd498,3,4
3240,7c66272b-7162-4ee2-b2ad-3850f39fd498,15,5
3241,7c66272b-7162-4ee2-b2ad-3850f39fd498,5,1
3242,7c66272b-7162-4ee2-b2ad-3850f39fd498,1,3
3243,7c66272b-7162-4ee2-b2ad-3850f39fd498,8,4
3244,35feec10-fa0a-42ba-9e13-6b6c174b66f0,14,5
3245,35feec10-fa0a-42ba-9e13-6b6c174b66f0,6,5
3246,35feec10-fa0a-42ba-9e13-6b6c174b66f0,15,5
3247,35feec10-fa0a-42ba-9e13-6b6c174b66f0,11,2
3248,35feec10-fa0a-42ba-9e13-6b6c174b66f0,3,5
3249,35feec10-fa0a-42ba-9e13-6b6c174b66f0,8,5
3250,35feec10-fa0a-42ba-9e13-6b6c174b66f0,4,5
3251,3422130e-26a7-4876-b1dd-6c792663592f,1,5
3252,3422130e-26a7-4876-b1dd-6c792663592f,9,5
3253,3422130e-26a7-4876-b1dd-6c792663592f,11,3
3254,ad37fd61-4c65-425e-bdc6-a0d3f6b87d40,3,1
3255,ad37fd61-4c65-425e-bdc6-a0d3f6b87d40,4,2
3256,ad37fd61-4c65-425e-bdc6-a0d3f6b87d40,6,4
3257,ad37fd61-4c65-425e-bdc6-a0d3f6b87d40,8,5
3258,ad37fd61-4c65-425e-bdc6-a0d3f6b87d40,10,2
3259,ad37fd61-4c65-425e-bdc6-a0d3f6b87d40,15,4
3260,ad37fd61-4c65-425e-bdc6-a0d3f6b87d40,7,1
3261,ad37fd61-4c65-425e-bdc6-a0d3f6b87d40,5,3
3262,ad37fd61-4c65-425e-bdc6-a0d3f6b87d40,11,1
3263,ad37fd61-4c65-425e-bdc6-a0d3f6b87d40,13,2
3264,ad37fd61-4c65-425e-bdc6-a0d3f6b87d40,14,2
3265,5ae13147-4802-44a1-9fc8-daa245ad8a45,10,5
3266,5ae13147-4802-44a1-9fc8-daa245ad8a45,14,5
3267,5ae13147-4802-44a1-9fc8-daa245ad8a45,13,5
3268,5ae13147-4802-44a1-9fc8-daa245ad8a45,6,2
3269,5ae13147-4802-44a1-9fc8-daa245ad8a45,2,5
3270,5ae13147-4802-44a1-9fc8-daa245ad8a45,5,1
3271,5ae13147-4802-44a1-9fc8-daa245ad8a45,11,4
3272,5ae13147-4802-44a1-9fc8-daa245ad8a45,8,2
3273,b14eae4e-a62c-4eb4-bc4d-34425d42679a,5,2
3274,b14eae4e-a62c-4eb4-bc4d-34425d42679a,14,1
3275,b14eae4e-a62c-4eb4-bc4d-34425d42679a,12,4
3276,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,14,4
3277,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,9,3
3278,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,1,1
3279,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,13,4
3280,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,15,3
3281,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,12,3
3282,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,2,4
3283,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,8,5
3284,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,10,1
3285,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,7,3
3286,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,11,1
3287,492e1f38-6640-48b1-a7e0-9deaf2c8f6e3,4,3
3288,13676532-4284-4081-b828-658108c0a1e0,2,5
3289,13676532-4284-4081-b828-658108c0a1e0,6,1
3290,13676532-4284-4081-b828-658108c0a1e0,13,4
3291,b32b9260-7816-4bcf-a4d1-c4d3185a7e18,14,2
3292,b32b9260-7816-4bcf-a4d1-c4d3185a7e18,12,2
3293,b32b9260-7816-4bcf-a4d1-c4d3185a7e18,7,2
3294,b32b9260-7816-4bcf-a4d1-c4d3185a7e18,1,1
3295,b32b9260-7816-4bcf-a4d1-c4d3185a7e18,2,4
3296,b32b9260-7816-4bcf-a4d1-c4d3185a7e18,3,4
3297,b32b9260-7816-4bcf-a4d1-c4d3185a7e18,4,1
3298,b32b9260-7816-4bcf-a4d1-c4d3185a7e18,8,3
3299,b32b9260-7816-4bcf-a4d1-c4d3185a7e18,5,3
3300,b32b9260-7816-4bcf-a4d1-c4d3185a7e18,9,5
3301,3796c657-27ca-4ee7-8a4b-bfe23bc19689,6,5
3302,3796c657-27ca-4ee7-8a4b-bfe23bc19689,7,1
3303,3796c657-27ca-4ee7-8a4b-bfe23bc19689,5,4
3304,3796c657-27ca-4ee7-8a4b-bfe23bc19689,1,3
3305,3796c657-27ca-4ee7-8a4b-bfe23bc19689,4,1
3306,9c465a3c-987e-4df4-9c85-335234f40656,5,2
3307,9c465a3c-987e-4df4-9c85-335234f40656,15,2
3308,9c465a3c-987e-4df4-9c85-335234f40656,2,5
3309,9c465a3c-987e-4df4-9c85-335234f40656,9,1
3310,9c465a3c-987e-4df4-9c85-335234f40656,6,1
3311,9c465a3c-987e-4df4-9c85-335234f40656,4,5
3312,9c465a3c-987e-4df4-9c85-335234f40656,1,5
3313,9c465a3c-987e-4df4-9c85-335234f40656,7,3
3314,9c465a3c-987e-4df4-9c85-335234f40656,8,3
3315,9c465a3c-987e-4df4-9c85-335234f40656,3,2
3316,86f98785-8baa-412e-9978-4be50f61a119,8,1
3317,86f98785-8baa-412e-9978-4be50f61a119,4,1
3318,86f98785-8baa-412e-9978-4be50f61a119,12,4
3319,86f98785-8baa-412e-9978-4be50f61a119,6,3
3320,86f98785-8baa-412e-9978-4be50f61a119,1,1
3321,86f98785-8baa-412e-9978-4be50f61a119,14,1
3322,86f98785-8baa-412e-9978-4be50f61a119,9,4
3323,86f98785-8baa-412e-9978-4be50f61a119,5,3
3324,86f98785-8baa-412e-9978-4be50f61a119,13,1
3325,aab5a6c8-3f08-4283-be99-d4e58dd0b8c8,15,5
